[21:16:58.588] [INFO   ] thread main starting.
[21:16:58.597] [SEVERE ] cannot read configuration file config.properties trying from resources.
[21:17:43.446] [SEVERE ] updating countdown to 17104
[21:17:43.556] [SEVERE ] updating countdown to 16994
[21:17:43.668] [SEVERE ] updating countdown to 16882
[21:17:43.782] [SEVERE ] updating countdown to 16768
[21:17:43.895] [SEVERE ] updating countdown to 16655
[21:17:44.006] [SEVERE ] updating countdown to 16544
[21:17:44.118] [SEVERE ] updating countdown to 16432
[21:17:44.231] [SEVERE ] updating countdown to 16319
[21:17:44.345] [SEVERE ] updating countdown to 16205
[21:17:44.452] [SEVERE ] updating countdown to 16098
[21:17:44.565] [SEVERE ] updating countdown to 15985
[21:17:44.676] [SEVERE ] updating countdown to 15874
[21:17:44.789] [SEVERE ] updating countdown to 15761
[21:17:44.901] [SEVERE ] updating countdown to 15649
[21:17:45.013] [SEVERE ] updating countdown to 15537
[21:17:45.125] [SEVERE ] updating countdown to 15425
[21:17:45.237] [SEVERE ] updating countdown to 15313
[21:17:45.348] [SEVERE ] updating countdown to 15202
[21:17:45.461] [SEVERE ] updating countdown to 15089
[21:17:45.573] [SEVERE ] updating countdown to 14977
[21:17:45.684] [SEVERE ] updating countdown to 14866
[21:17:45.797] [SEVERE ] updating countdown to 14753
[21:17:45.910] [SEVERE ] updating countdown to 14640
[21:17:46.021] [SEVERE ] updating countdown to 14529
[21:17:46.134] [SEVERE ] updating countdown to 14416
[21:17:46.245] [SEVERE ] updating countdown to 14305
[21:17:46.357] [SEVERE ] updating countdown to 14193
[21:17:46.467] [SEVERE ] updating countdown to 14083
[21:17:46.581] [SEVERE ] updating countdown to 13969
[21:17:46.692] [SEVERE ] updating countdown to 13858
[21:17:46.805] [SEVERE ] updating countdown to 13745
[21:17:46.917] [SEVERE ] updating countdown to 13633
[21:17:47.029] [SEVERE ] updating countdown to 13521
[21:17:47.140] [SEVERE ] updating countdown to 13410
[21:17:47.252] [SEVERE ] updating countdown to 13298
[21:17:47.366] [SEVERE ] updating countdown to 13184
[21:17:47.477] [SEVERE ] updating countdown to 13073
[21:17:47.590] [SEVERE ] updating countdown to 12960
[21:17:47.701] [SEVERE ] updating countdown to 12849
[21:17:47.813] [SEVERE ] updating countdown to 12737
[21:17:47.925] [SEVERE ] updating countdown to 12625
[21:17:48.037] [SEVERE ] updating countdown to 12513
[21:17:48.148] [SEVERE ] updating countdown to 12402
[21:17:48.261] [SEVERE ] updating countdown to 12289
[21:17:48.373] [SEVERE ] updating countdown to 12177
[21:17:48.484] [SEVERE ] updating countdown to 12066
[21:17:48.596] [SEVERE ] updating countdown to 11954
[21:17:48.712] [SEVERE ] updating countdown to 11838
[21:17:48.822] [SEVERE ] updating countdown to 11728
[21:17:48.933] [SEVERE ] updating countdown to 11617
[21:17:49.045] [SEVERE ] updating countdown to 11505
[21:17:49.159] [SEVERE ] updating countdown to 11391
[21:17:49.270] [SEVERE ] updating countdown to 11280
[21:17:49.382] [SEVERE ] updating countdown to 11168
[21:17:49.494] [SEVERE ] updating countdown to 11056
[21:17:49.606] [SEVERE ] updating countdown to 10944
[21:17:49.718] [SEVERE ] updating countdown to 10832
[21:17:49.831] [SEVERE ] updating countdown to 10719
[21:17:49.942] [SEVERE ] updating countdown to 10608
[21:17:50.052] [SEVERE ] updating countdown to 10498
[21:17:50.165] [SEVERE ] updating countdown to 10385
[21:17:50.277] [SEVERE ] updating countdown to 10273
[21:17:50.391] [SEVERE ] updating countdown to 10159
[21:17:50.502] [SEVERE ] updating countdown to 10048
[21:17:50.613] [SEVERE ] updating countdown to 9937
[21:17:50.727] [SEVERE ] updating countdown to 9823
[21:17:50.838] [SEVERE ] updating countdown to 9712
[21:17:50.948] [SEVERE ] updating countdown to 9602
[21:17:51.060] [SEVERE ] updating countdown to 9490
[21:17:51.173] [SEVERE ] updating countdown to 9377
[21:17:51.285] [SEVERE ] updating countdown to 9265
[21:17:51.396] [SEVERE ] updating countdown to 9154
[21:17:51.512] [SEVERE ] updating countdown to 9038
[21:17:51.621] [SEVERE ] updating countdown to 8929
[21:17:51.732] [SEVERE ] updating countdown to 8818
[21:17:51.845] [SEVERE ] updating countdown to 8705
[21:17:51.957] [SEVERE ] updating countdown to 8593
[21:17:52.068] [SEVERE ] updating countdown to 8482
[21:17:52.181] [SEVERE ] updating countdown to 8369
[21:17:52.294] [SEVERE ] updating countdown to 8256
[21:17:52.406] [SEVERE ] updating countdown to 8144
[21:17:52.517] [SEVERE ] updating countdown to 8033
[21:17:52.630] [SEVERE ] updating countdown to 7920
[21:17:52.747] [SEVERE ] updating countdown to 7803
[21:17:52.853] [SEVERE ] updating countdown to 7697
[21:17:52.966] [SEVERE ] updating countdown to 7584
[21:17:53.078] [SEVERE ] updating countdown to 7472
[21:17:53.190] [SEVERE ] updating countdown to 7360
[21:17:53.302] [SEVERE ] updating countdown to 7248
[21:17:53.413] [SEVERE ] updating countdown to 7137
[21:17:53.526] [SEVERE ] updating countdown to 7024
[21:17:53.638] [SEVERE ] updating countdown to 6912
[21:17:53.748] [SEVERE ] updating countdown to 6802
[21:17:53.862] [SEVERE ] updating countdown to 6688
[21:17:53.972] [SEVERE ] updating countdown to 6578
[21:17:54.084] [SEVERE ] updating countdown to 6466
[21:17:54.198] [SEVERE ] updating countdown to 6352
[21:17:54.310] [SEVERE ] updating countdown to 6240
[21:17:54.420] [SEVERE ] updating countdown to 6130
